Individual,Condition,Trial,EMG_thresh,I_flexion,I_extension,Ratio_I_ext_flex,t_on_flex,t_on_ext,Ratio_t_on_ext_flex
6,Post-mortem,3,0.00568430258549287,8.436234e-06,9.964865e-06,1.18119826927513,0.0412371134020619,0.0434782608695652,1.05434782608696
7,Pre-op,1,0.0361381541526021,0.0068275226992,0.0058642224122,0.858909251650987,0.360795454545455,0.682608695652174,1.89195480999658
7,Pre-op,2,0.0361479820619278,0.0056065934881,0.0042312236216,0.754687071673874,0.329896907216495,0.525316455696203,1.59236550632911
7,Pre-op,3,0.0320783080308395,0.0080892707541,0.0047208726026,0.583596809416628,0.225806451612903,0.602484472049689,2.6681455190772
7,1wk Post-op,1,0.0118422083492997,0.00055342,0.00076901123,1.38956168913303,0.481675392670157,0.459459459459459,0.953877790834313
7,1wk Post-op,2,0.0124136478074578,0.00056377246,0.00044667771,0.792301401171671,0.328912466843501,0.229166666666667,0.696740591397849
7,1wk Post-op,3,0.0133147154738812,0.00106492253,0.00390106664,3.66323984149345,0.446236559139785,0.775544388609715,1.73796694314948
7,3mo Post-op,1,0.00690624356354359,0.002092985855,0.00040819883,0.195031814966566,0.837735849056604,0.624649859943978,0.745640598581775
7,3mo Post-op,2,0.00723445618047535,0.003240522148,0.000826575591,0.255074816109543,0.694545454545455,0.77445652173913,1.11505520145686
7,3mo Post-op,3,0.00739865407716896,0.00033593354,0.000212051124,0.631229391384974,0.459807073954984,0.146938775510204,0.319566148137577
7,6mo Post-op,1,0.00489519091194437,0.000395004619,0.000841601242,2.13061114103073,0.37874659400545,0.337931034482759,0.892235177375341
7,6mo Post-op,2,0.00523647461564158,0.024186460111,0.001942686043,0.0803212224560495,0.944297082228117,0.687248322147651,0.727788251263102
7,6mo Post-op,3,0.00492793071229684,0.000451779609,0.002989826522,6.61788726724052,0.368556701030928,0.873925501432665,2.37121045143968
7,Post-mortem,1,0.00692897266329396,0.000118960886,0.000140118196,1.17785097868219,0.279569892473118,0.163230240549828,0.583862014274385
7,Post-mortem,2,0.00580426694958425,0.00011023115,2.5376523e-05,0.230211904711146,0.184873949579832,0.0416047548291233,0.225043901121167
7,Post-mortem,3,0.00551975367223318,9.7029793e-05,6.4054847e-05,0.660156484101744,0.188202247191011,0.110014104372355,0.5845525545755
8,Pre-op,1,0.0203255761286442,0.0005584983993,0.0021308387153,3.81529959256949,0.185929648241206,0.432489451476793,2.32609191469951
8,Pre-op,2,0.0137569929299449,0.0004606068233,0.0012189776292,2.64646020757287,0.253456221198157,0.309409888357257,1.22076265042772
8,Pre-op,3,0.0147734018260641,0.0005436387036,0.0013859491816,2.54939387578953,0.350993377483444,0.271217712177122,0.772714613938592
8,1wk Post-op,1,0.0119141983810147,0.0005339061,0.00054745905,1.0253845198622,0.43646408839779,0.366261398176292,0.839155861644415
8,1wk Post-op,2,0.011842334743576,0.00027590032,0.00028549293,1.03476839026501,0.31266149870801,0.210958904109589,0.674719800747198
8,1wk Post-op,3,0.0116179850246217,0.00039409619,0.00021188423,0.537645974197315,0.395465994962217,0.164609053497942,0.416240727634924
8,3mo Post-op,1,0.00571250558199241,0.00696504383,0.00670382562,0.962495826820949,0.461538461538462,0.978593272171254,2.12028542303772
8,3mo Post-op,2,0.00606823793596927,0.006522695274,0.003599541616,0.551848808627941,0.417322834645669,0.958904109589041,2.29775135693978
8,3mo Post-op,3,0.00622380654824516,0.00760783722,0.004659775931,0.612496797217225,0.58,0.986486486486487,1.70083876980429
8,6mo Post-op,1,0.00454548887135948,2.272732e-05,0.000142969341,6.29063791947313,0.0741626794258373,0.14385150812065,1.93967517401392
8,6mo Post-op,2,0.0049834102462079,0.00655894599,0.002759874445,0.42078017553549,0.875690607734807,0.921015514809591,1.05175904214849
8,6mo Post-op,3,0.00541409459932001,0.000386285703,0.001169170427,3.02669867903447,0.61878453038674,0.613733905579399,0.991837829552422
8,Post-mortem,1,0.00482966878251537,0.003195843349,0.002058775686,0.644204193126113,0.907780979827089,0.877669902912621,0.966830020033904
8,Post-mortem,2,0.00526173063844976,6.6531405e-05,0.000412632569,6.20207207408291,0.210526315789474,0.46643109540636,2.21554770318021
8,Post-mortem,3,0.0052993607577893,6.1892245e-05,0.000503555226,8.13599871841779,0.19941348973607,0.471451876019576,2.3641924959217
9,Pre-op,1,0.0169163781481606,0.0003495849563,0.0007794199502,2.22955804062442,0.160206718346253,0.861111111111111,5.375
9,Pre-op,2,0.0170452458305862,7.4307032e-06,0.0007368285103,99.1599974414265,0.0122699386503067,0.510489510489511,41.6048951048951
9,Pre-op,3,0.0166078814931192,1.57591852e-05,0.0007966248329,50.5498744249798,0.0241691842900302,0.538961038961039,22.299512987013
9,1wk Post-op,1,0.0126487725784906,0.0003213711,0.00017933266,0.558023605731816,0.368852459016393,0.3984375,1.08020833333333
9,1wk Post-op,2,0.0119646508176842,0.00108454231,0.00064412689,0.593915870373006,0.416,0.528239202657807,1.26980577561973
9,1wk Post-op,3,0.0116903640753261,0.00074035936,0.00057308389,0.774061788048442,0.513725490196078,0.692307692307692,1.34762184380505
9,3mo Post-op,1,0.00579642506790171,0.000730283105,0.001055863398,1.44582750274635,0.728971962616822,0.971264367816092,1.3323754789272
9,3mo Post-op,2,0.00563764456992772,0.000381158059,0.011160535083,29.2805958564292,0.703349282296651,0.989473684210526,1.40680272108844
9,3mo Post-op,3,0.00533515592761504,0.000303703848,0.00070137606,2.3094078807984,0.62200956937799,0.940540540540541,1.51209979209979
9,6mo Post-op,1,0.00515193230128235,0.004358966939,0.001626031178,0.373031316996644,0.776785714285714,0.964102564102564,1.2411435307987
9,6mo Post-op,2,0.00482453917775955,0.001606407117,0.00074061475,0.461038015931549,0.65938864628821,0.944444444444444,1.43230316409124
9,6mo Post-op,3,0.00517942780252858,0.000779245485,0.000981945741,1.26012374778148,0.657777777777778,0.909090909090909,1.38206388206388
9,Post-mortem,1,0.005459921280681,3.848977e-06,8.13906e-06,2.11460343878386,0.0226415094339623,0.0497925311203319,2.19917012448133
9,Post-mortem,2,0.00544417625960414,0.000145074513,7.186101e-06,0.049533862643399,0.341176470588235,0.0343642611683849,0.100722834459059
9,Post-mortem,3,0.00561839412866604,0.000247233601,0.000155281174,0.628074717076988,0.52962962962963,0.473509933774834,0.894039735099338
10,Pre-op,1,0.0327422312940936,0.0001721660008,0.00483709951,28.0955559606633,0.105113636363636,0.782222222222222,7.44168168168168
10,Pre-op,2,0.031877927536636,0.003362933579,0.0062739413644,1.86561560524951,0.37719298245614,0.923404255319149,2.44809500247402
10,Pre-op,3,0.0282199006864303,5.27722723e-05,0.0038292691841,72.5621432848553,0.0469208211143695,0.759336099585062,16.1833506224066
10,Sham,1,0.0107115306070004,0.000397899,0.00469471391,11.7987577500823,0.411538461538462,0.886435331230284,2.15395501046611
10,Sham,2,0.0104526395745596,0.00127171092,0.00426250532,3.35178793620802,0.549090909090909,0.880116959064328,1.60286201154099
10,Sham,3,0.0108378260120339,0.0009058378,0.00308075889,3.40100500332399,0.530909090909091,0.739946380697051,1.39373462117595
10,1wk Post-op,1,0.00585981604012425,0.000429171574,0.000201016708,0.468383090069241,0.607692307692308,0.572784810126582,0.942557282486781
10,1wk Post-op,2,0.00487369163428679,6.2884411e-05,0.000311406904,4.95205248881157,0.242105263157895,0.521628498727735,2.15455249474499
10,1wk Post-op,3,0.005781677219943,0.000232842491,0.000220350825,0.946351432909211,0.558139534883721,0.496583143507973,0.889711465451784
10,3mo Post-op,1,0.00448097803777567,0.006181592416,0.002353093973,0.380661456570546,0.707762557077626,0.995238095238095,1.40617511520737
10,3mo Post-op,2,0.0234783038960601,4.484947e-05,8.788327e-05,1.9595163554887,0.0669642857142857,0.127118644067797,1.89830508474576
10,3mo Post-op,3,0.00498370099668917,0.001705773903,0.000388244757,0.227606223965076,0.690376569037657,0.657370517928287,0.952191235059761
10,Post-mortem,1,0.00538805277246606,0.000137785751,0.000165879321,1.20389314421924,0.320610687022901,0.2296918767507,0.716419901293851
10,Post-mortem,2,0.00544597877856464,6.0872937e-05,0.000482903976,7.93298302659522,0.167958656330749,0.499346405228758,2.97303167420814
10,Post-mortem,3,0.00522468673032565,4.6036583e-05,5.8986137e-05,1.28128833975363,0.136239782016349,0.123893805309735,0.909380530973451
15,Pre-op,1,0.0114404770004455,2.67673454e-05,0.0032248776015,120.478050897793,0.0554016620498615,0.857908847184987,15.485254691689
15,Pre-op,2,0.0145310613488311,0.0003816205067,0.0020855307616,5.46493368407867,0.370165745856354,0.686274509803922,1.85396546678373
15,Pre-op,3,0.0149234677815605,6.46649513e-05,0.0018130508955,28.0376132518637,0.0940860215053763,0.730878186968839,7.76819101578308
15,Sham,1,0.0106250183157297,0.0012609568,0.00338358706,2.68334891409444,0.572413793103448,0.819843342036554,1.43225644090723
15,Sham,2,0.00995515597644893,0.00045423659,0.00359115989,7.90592384906729,0.492857142857143,0.922252010723861,1.87123596378754
15,Sham,3,0.00986036648000196,0.000615391492,0.002030036571,3.29877256574096,0.506896551724138,0.796246648793566,1.57082672210976
15,1wk Post-op,1,0.00477891073285932,0.000899785464,9.3195699e-05,0.103575466295819,0.68695652173913,0.423255813953488,0.616131881071534
15,1wk Post-op,2,0.00452038090389279,0.000153269195,0.000176183766,1.14950539147805,0.423076923076923,0.585365853658537,1.38359201773836
15,1wk Post-op,3,0.00471356009108763,0.001120490221,0.000479832027,0.428234015796913,0.63265306122449,0.852589641434263,1.34764169129932
15,3mo Post-op,1,0.00533405079383779,4.380956e-05,9.79274e-06,0.223529750127598,0.180379746835443,0.0299539170506912,0.166060312070499
15,3mo Post-op,2,0.00536862807814791,0.001370312708,0.001038690909,0.757995531192286,0.584126984126984,0.835789473684211,1.4308352402746
15,3mo Post-op,3,0.0049448773516841,0.001873033453,0.000546431386,0.29173605261817,0.617469879518072,0.712244897959184,1.15348929815829
15,6mo Post-op,1,0.00526727884121119,0.000479407696,0.000194939637,0.406626006688053,0.644827586206897,0.303030303030303,0.469940042132556
15,6mo Post-op,2,0.0122369955047702,0.00844233486,0.00734374888,0.869871783313746,0.437299035369775,0.965346534653465,2.20752038439138
15,6mo Post-op,3,0.0046725788994482,0.012163112,0.003829741922,0.31486530108413,0.645569620253165,0.96875,1.50061274509804
15,Post-mortem,1,0.00527830915838264,9.718943e-06,1.1709681e-05,1.2048307105001,0.0361757105943152,0.0286624203821656,0.792311191992721
15,Post-mortem,2,0.00558117608526812,3.71695e-05,1.0459549e-05,0.281401390925356,0.0979381443298969,0.0239520958083832,0.244563504569808
15,Post-mortem,3,0.00553684343128106,2.2145539e-05,9.588301e-06,0.432967605800879,0.0775193798449612,0.0198863636363636,0.256534090909091
